YT playlist link,,
Sessions ,Speaker,Link
Keynote,"Dr. Gavin Wood, Parity Technologies",https://youtu.be/HKNuGYk1EkE
What the heck is Substrate,"Fredrik Harryson,Parity Technologies",https://youtu.be/MCJBPAZIAdQ
"The Substrate Ecosystem: A 10,000 Foot View","Björn Wagner, Parity Technologies",https://youtu.be/IFRNTggsAhA
Anatomy of a Substrate Node,"Dan Forbes, Parity Technologies",https://youtu.be/-LlhH1CsNg4
"Run, Learn, Fix and Repeat: Launching the First Parachain Test Network","Bastian Köcher, Parity Technologies",https://youtu.be/gsRYcM8mlu0
ink! 3.0: A Rust & Smart Contracts Love Story,"Robin Freyler, Parity Techologies",https://youtu.be/WNNJzK3dGGQ
Substrate's RPC Endpoints: What You Already Have and How to Get Moar,"Tomasz Drwięga
Core Developer, Parity Technologies",https://youtu.be/xDHP3FlLCno
"Benchmarking Your Runtime 
","Shawn Tabrizi
Core Developer, Parity Technologies",https://youtu.be/i3zW4wGexAc
Fulfilling the Promise of Blockchain in the World of Business,"Maksym Petkus, Chronicled",https://youtu.be/RpVR3MG6AI8
The Future Is Treasury-Funded,"Drew Stone, Commonwealth Labs",https://youtu.be/uEjyr3_qN-s
Polimec: A Fundraising Mechanism for the Polkadot Ecosystem,"Ingo Rübe, BOTLabs",https://youtu.be/HrrMi1ibS3Q
Unlocking the Vast Potential of the DeFi Market by Using Polkadot Technology,"Peter Sergeev, Equilibrium",https://youtu.be/yw6x4K5zsKc
"Building Privacy-Preserving NFTs on Substrate
","Cassidy Daly & Jay Butera,
Centrifuge",https://youtu.be/UJTCbfemw4A
Bridging Polkadot and Ethereum: Interoperability Today,"Aidan Musnitzky, Snowfork",https://youtu.be/K6_ZhveZLMc
Lessons Learned From Building Substrate Runtime in AssemblyScript,"Daniel Ivanov, Limechain",https://youtu.be/XpUmSYw-Jzc
"Build Your First Blockchain With FRAME
","Bryan Chen, Acala Foundation & Dan Forbes, Parity Technologies",https://youtu.be/y1AXitnQSyU
ink! 3.0 Workshop,"Robin Freyler & Andrew Jones,
Parity Technologies",https://youtu.be/dxM_M7-EaVc
Parachains Workshop,"Ricardo Rius,
Parity Technologies",https://youtu.be/ubGCusTnhSM
Using Frontier to Build an Ethereum-Compatible Substrate-Based Chain,"Alberto Viera, Telmo Michelena & Joshy Orndorff, PureStake",https://youtu.be/U18uEgWVZy4
